Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8045486851457001,0.6504559270516718,0.5721925133689839,0.6088193456614509,0.8360714082341553
Random Forest,0.7882018479033405,0.6233766233766234,0.5133689839572193,0.5630498533724341,0.8156283810716929
XGBoost,0.7711442786069652,0.5760233918128655,0.5267379679144385,0.5502793296089385,0.8113899084231069
Decision Tree,0.7164179104477612,0.46612466124661245,0.45989304812834225,0.4629878869448183,0.6343317578725586
